제품명,제품군 대분류,제품군 중분류,제품군 소분류,업체명,업체주소,생산지,출처,처분권자,조치일자,조치내용,위반내용,기타
메무아 오브제 필라캔들(프렌치라벤더 향),기타류,초,초,[제조] 메무아,경기도 안산시 상록구 광덕4로 460 509동 1006호,대한민국,생활화학제품 및 살생물제의 안전관리에 관한 법률,한강유역환경청,2022-05-03,"제조금지, 판매금지, 회수명령",확인 미실시 및 표시사항 미표기,
메무아 오브제 필라캔들 오각형캔들(블랙베리&베이향),기타류,초,초,[제조] 메무아,경기도 안산시 상록구 광덕4로 460 509동 1006호,대한민국,생활화학제품 및 살생물제의 안전관리에 관한 법률,한강유역환경청,2022-05-03,"제조금지, 판매금지, 회수명령",확인 미실시 및 표시사항 미표기,
알루미늄 차량용 방향제(알뤼르옴므 스포츠),방향제류,방향제,방향제,[수입/판매] 캔들아트(candle art) (02-6261-6101),경기도 고양시 일산동구 장대길 106-18,홍콩,생활화학제품 및 살생물제의 안전관리에 관한 법률,한강유역환경청,2022-05-04,"수입금지, 판매금지, 회수명령",확인 미실시 및 표시사항 미표기,
제습탈취인형,기타류,"습기제거제, 탈취제",탈취제·습기제거제,[판매] 와이지유니타스(YGUNITAS) ,경기도 남양주시 화도읍 재재기로 22-2,-,생활화학제품 및 살생물제의 안전관리에 관한 법률,한강유역환경청,2022-05-04,"판매금지, 회수명령",확인 미실시 및 표시사항 미표기,와이지유니타스(YGUNITAS)에서 판매한 제품에 한함.
반짝반짝 케이크초,기타류,초,초,[판매] 플레이하이커,"서울특별시 동작구 장승배기로9길 59, 301호(상도동)",중국,생활화학제품 및 살생물제의 안전관리에 관한 법률,한강유역환경청,2022-05-04,"판매금지, 회수명령",신고 미실시 및 표시사항 미표기,플레이하이커에서 판매한 제품에 한함. 수입업체 파티피플에서 신고증명서 발급(2020.4.2.) 이전 제품 회수대상으로 신고번호(HB20-26-0377) 표시제품 유통 가능
디퓨저(클린코튼 향),방향제류,방향제,방향제,[판매] 아로캔들,서울시 도봉구 도봉로 476(삼성쉐르빌퍼스티),대한민국,생활화학제품 및 살생물제의 안전관리에 관한 법률,한강유역환경청,2022-04-29,"판매금지, 회수명령","안전기준 및 표시기준 미준수(미확인,미표시)",
크리스마스케이크캔들(바닐라 향),방향제류,방향제,방향제,[판매] 아로캔들,서울시 도봉구 도봉로 476(삼성쉐르빌퍼스티),대한민국,생활화학제품 및 살생물제의 안전관리에 관한 법률,한강유역환경청,2022-04-29,"판매금지, 회수명령","안전기준 및 표시기준 미준수(미확인,미표시)",
yankee candle car jar(sage&citrus),방향제류,방향제,방향제,[판매] 이안(2AN) (02-6348-7022),"서울시 양천구 오목로 126, 2층",미국,생활화학제품 및 살생물제의 안전관리에 관한 법률,한강유역환경청,2022-04-29,"판매금지, 회수명령","안전기준 및 표시기준 미준수(미확인,미표시)",
smart scent vent clip(ocean star),방향제류,방향제,방향제,[판매] 이안(2AN) (02-6348-7022),"서울시 양천구 오목로 126, 2층",미국,생활화학제품 및 살생물제의 안전관리에 관한 법률,한강유역환경청,2022-04-29,"판매금지, 회수명령","안전기준 및 표시기준 미준수(미확인,미표시)",
vent sticks(turquoise sky),방향제류,방향제,방향제,[판매] 이안(2AN) (02-6348-7022),"서울시 양천구 오목로 126, 2층",미국,생활화학제품 및 살생물제의 안전관리에 관한 법률,한강유역환경청,2022-04-29,"판매금지, 회수명령","안전기준 및 표시기준 미준수(미확인,미표시)",
car jar ultimate(macintosh),방향제류,방향제,방향제,[판매] 이안(2AN) (02-6348-7022),"서울시 양천구 오목로 126, 2층",미국,생활화학제품 및 살생물제의 안전관리에 관한 법률,한강유역환경청,2022-04-29,"판매금지, 회수명령","안전기준 및 표시기준 미준수(미확인,미표시)",
fragrance spheres(cranberry pear),방향제류,방향제,방향제,[판매] 이안(2AN) (02-6348-7022),"서울시 양천구 오목로 126, 2층",미국,생활화학제품 및 살생물제의 안전관리에 관한 법률,한강유역환경청,2022-04-29,"판매금지, 회수명령","안전기준 및 표시기준 미준수(미확인,미표시)",
super long life coolant,자동차 전용 제품,자동차용 부동액,자동차용 부동액,[판매] 주식회사 넥스테일(070-7164-0039),인천 중구 큰우물로20번길 2 금수빌딩 3층,미국,생활화학제품 및 살생물제의 안전관리에 관한 법률,한강유역환경청,2022-05-02,"판매금지, 회수명령",확인 미실시 및 표시사항 미표기,신고번호 DA19-17-0021 라벨 정상부착제품은 판매가능
맨 토르소 바디캔들 다비드 조각상 오브제 캔들,기타류,초,초,[제조/판매] 플라워즈온더락,"대전광역시 서구 가장로 50, 1층 101호 플라워즈온더락",대한민국,생활화학제품 및 살생물제의 안전관리에 관한 법률,금강유역환경청,2022-05-03,"제조금지, 판매금지, 회수명령","안전확인검사 미실시, 표시사항 미표기",
candle,기타류,초,초,[수입/판매] 주식회사 러브헌터(070-4123-6555),"(수입/판매)대구광역시 북구 대불로35, 1층 러브헌터",중국,생활화학제품 및 살생물제의 안전관리에 관한 법률,대구지방환경청,2022-05-10,"수입금지, 판매금지, 회수명령",안전기준적합확인 미실시 및 표시기준 위반,"주식회사 러브헌터에서 신고증명서 발급(GB21-26-1488, 제품명: 티라이트 캔들)하여 신고번호 표시한 제품은 유통 가능"
헬로우버터 디퓨저 자몽향,방향제류,방향제,방향제,[제조/판매] 헬로우버터,충청남도 서산시 율지3로 36 태양빌딩 1층 헬로우버터,대한민국,생활화학제품 및 살생물제의 안전관리에 관한 법률,금강유역환경청,2022-05-03,"제조금지, 판매금지, 회수명령","안전확인검사 미실시, 표시사항 미표기",
아기천사 차량용 석고방향제 매그놀리아 노빌레,방향제류,방향제,방향제,[제조/판매] 플라워즈온더락,"대전광역시 서구 가장로 50, 1층 101호 플라워즈온더락",대한민국,생활화학제품 및 살생물제의 안전관리에 관한 법률,금강유역환경청,2022-05-03,"제조금지, 판매금지, 회수명령","안전확인검사 미실시, 표시사항 미표기",
울트라플러스(5g),미용제품,미용 접착제,미용접착제,[제조] ㈜AG(070-4344-5900),[제조] 충청북도 충주시 대소원면 메가폴리스로 40,대한민국,생활화학제품 및 살생물제의 안전관리에 관한 법률,원주지방환경청,2022-05-02,"제조금지명령, 회수명령, 폐기명령, 판매금지","확인 받은 내용과 다르게 제조 [함유금지물질(메틸메타크릴레이트) 검출, 함량제한물질(하이드로퀴논) 기준 초과]",
디유(5g),미용제품,미용 접착제,미용접착제,[제조] ㈜AG(070-4344-5900),[제조] 충청북도 충주시 대소원면 메가폴리스로 40,대한민국,생활화학제품 및 살생물제의 안전관리에 관한 법률,원주지방환경청,2022-05-02,"제조금지명령, 회수명령, 폐기명령, 판매금지",안전기준을 위반한 제품과 동일한 신고번호(CB21-19-0002)를 사용한 파생제품,
마하(5g),미용제품,미용 접착제,미용접착제,[제조] ㈜AG(070-4344-5900),[제조] 충청북도 충주시 대소원면 메가폴리스로 40,대한민국,생활화학제품 및 살생물제의 안전관리에 관한 법률,원주지방환경청,2022-05-02,"제조금지명령, 회수명령, 폐기명령, 판매금지",안전기준을 위반한 제품과 동일한 신고번호(CB21-19-0002)를 사용한 파생제품,
피나(5g),미용제품,미용 접착제,미용접착제,[제조] ㈜AG(070-4344-5900),[제조] 충청북도 충주시 대소원면 메가폴리스로 40,대한민국,생활화학제품 및 살생물제의 안전관리에 관한 법률,원주지방환경청,2022-05-02,"제조금지명령, 회수명령, 폐기명령, 판매금지",안전기준을 위반한 제품과 동일한 신고번호(CB21-19-0002)를 사용한 파생제품,
집먼지진드기 100%친환경 천연퇴치제,살생물제류,보건용 기피제,보건용기피제,[판매] 금자네까까봉지,"[판매] 충청북도 충주시 염밭로 53, 상가동 1층",대한민국,생활화학제품 및 살생물제의 안전관리에 관한 법률,원주지방환경청,2022-05-02,"회수명령, 판매금지",승인 미이행 및 표시기준(전부 미표기) 위반,
밀대양초(흰색),기타류,초,초,[제조/판매] 태광상사(031-291-2596),전북 완주군 삼례읍 마천3길 30,대한민국,생활화학제품 및 살생물제의 안전관리에 관한 법률,전북지방환경청,2022-05-03,"제조금지, 판매금지, 회수명령",안전확인 및 표시기준 미준수,"안전기준 적합확인신고(CB21-26-2006, 21.11.9.완료), 이후에도 표기사항 미준수"
밀대양초(적색),기타류,초,초,[제조/판매] 태광상사(031-291-2596),전북 완주군 삼례읍 마천3길 30,대한민국,생활화학제품 및 살생물제의 안전관리에 관한 법률,전북지방환경청,2022-05-03,"제조금지, 판매금지, 회수명령",안전확인 및 표시기준 미준수,
밀대양초(노란색),기타류,초,초,[제조/판매] 태광상사(031-291-2596),전북 완주군 삼례읍 마천3길 30,대한민국,생활화학제품 및 살생물제의 안전관리에 관한 법률,전북지방환경청,2022-05-03,"제조금지, 판매금지, 회수명령",안전확인 및 표시기준 미준수,
밀대양초(청색),기타류,초,초,[제조/판매] 태광상사(031-291-2596),전북 완주군 삼례읍 마천3길 30,대한민국,생활화학제품 및 살생물제의 안전관리에 관한 법률,전북지방환경청,2022-05-03,"제조금지, 판매금지, 회수명령",안전확인 및 표시기준 미준수,
용초(대),기타류,초,초,[제조/판매] 태광상사(031-291-2596),전북 완주군 삼례읍 마천3길 30,대한민국,생활화학제품 및 살생물제의 안전관리에 관한 법률,전북지방환경청,2022-05-03,"제조금지, 판매금지, 회수명령",안전확인 및 표시기준 미준수,
돈타래(중),기타류,초,초,[제조/판매] 태광상사(031-291-2596),전북 완주군 삼례읍 마천3길 30,대한민국,생활화학제품 및 살생물제의 안전관리에 관한 법률,전북지방환경청,2022-05-03,"제조금지, 판매금지, 회수명령",안전확인 및 표시기준 미준수,
왕대호,기타류,초,초,[제조/판매] 태광상사(031-291-2596),전북 완주군 삼례읍 마천3길 30,대한민국,생활화학제품 및 살생물제의 안전관리에 관한 법률,전북지방환경청,2022-05-03,"제조금지, 판매금지, 회수명령",안전확인 및 표시기준 미준수,
특2호,기타류,초,초,[제조/판매] 태광상사(031-291-2596),전북 완주군 삼례읍 마천3길 30,대한민국,생활화학제품 및 살생물제의 안전관리에 관한 법률,전북지방환경청,2022-05-03,"제조금지, 판매금지, 회수명령",안전확인 및 표시기준 미준수,
원형60번,기타류,초,초,[제조/판매] 태광상사(031-291-2596),전북 완주군 삼례읍 마천3길 30,대한민국,생활화학제품 및 살생물제의 안전관리에 관한 법률,전북지방환경청,2022-05-03,"제조금지, 판매금지, 회수명령",안전확인 및 표시기준 미준수,
스톤 스프레이,염료/염색류,물체도색제,물체 도색제,[수입] 칼라메이트㈜온라인 (1877-7404),경기도 안양시 만안구 박달로 351(박달동),미국,생활화학제품 및 살생물제의 안전관리에 관한 법률,한강유역환경청,2022-04-25,"수입금지, 판매금지, 회수명령",안전확인대상생활화학제품 안전기준 위반 제품 수입 ※ 제품 내 함유금지물질(MIT/CMIT) 검출,해당 신고번호(FB19-15-0031) 사용 제품 모두 판매금지 및 회수
냄새 먹는 나무 규조토,기타류,"습기제거제, 탈취제",탈취제·습기제거제,[제조/판매] 아트앤드데이스토리(02-6015-1537),"경기도 고양시 덕양구 동산1로2길 21-16, 402호(동산동)",대한민국,생활화학제품 및 살생물제의 안전관리에 관한 법률,한강유역환경청,2022-04-26,"제조금지, 판매금지, 회수명령",안전확인대상생활화학제품 안전·표시기준 위반 제품 제조·판매,"※ 현 시점 신고 완료(GB22-13-0150호,2022.4.12.)한 제품(규조토 나무 탈취 습기제거제)은 안전·표시기준 준수하여 유통 가능"
천연 레진 스톤 방향제(와일드호스타앤윌로우 향),방향제류,방향제,방향제,[제조/판매] 라뮤즈 캔들,"인천광역시 남구 석바위로 104, 101동 702호(주안동, 한뫼위너스)",대한민국,생활화학제품 및 살생물제의 안전관리에 관한 법률,한강유역환경청,2022-04-29,"제조금지, 판매금지, 회수명령",안전확인대상생활화학제품 안전·표시기준 위반 제품 제조·판매,-
아기천사 캔들(클린코튼),기타류,초,초,[제조/판매] 라뮤즈 캔들,"인천광역시 남구 석바위로 104, 101동 702호(주안동, 한뫼위너스)",대한민국,생활화학제품 및 살생물제의 안전관리에 관한 법률,한강유역환경청,2022-04-29,"제조금지, 판매금지, 회수명령",안전확인대상생활화학제품 안전·표시기준 위반 제품 제조·판매,-
아크릴레이트 흑색,미용제품,미용 접착제,미용접착제,[판매] 한*보,서울특별시 광진구 군자동,대한민국,생활화학제품 및 살생물제의 안전관리에 관한 법률,한강유역환경청,2022-04-25,"판매금지, 회수명령",확인 미실시 및 표시사항 미표기,
왁스타블렛,방향제류,방향제,방향제,[제조/판매] 당신의 향기,"인천광역시 미추홀구 용정공원로 33, 124동 802호(용현동)",-,생활화학제품 및 살생물제의 안전관리에 관한 법률,한강유역환경청,2022-04-25,"제조금지, 판매금지, 회수명령",확인 미실시 및 표시사항 미표기,
드라이 플라워 캔들,기타류,초,초,[제조/판매] 당신의 향기,"인천광역시 미추홀구 용정공원로 33, 124동 802호(용현동)",-,생활화학제품 및 살생물제의 안전관리에 관한 법률,한강유역환경청,2022-04-25,"제조금지, 판매금지, 회수명령",확인 미실시 및 표시사항 미표기,
디퓨저(꽃집 향),방향제류,방향제,방향제,[제조/판매] 6월공상,"경기도 평택시 비전로64번길 25-5, 101호(비전동)",-,생활화학제품 및 살생물제의 안전관리에 관한 법률,한강유역환경청,2022-04-27,"제조금지, 판매금지, 회수명령",확인 미실시 및 표시사항 미표기,
장미 허브 컨테이너 캔들(꽃집 향),기타류,초,초,[제조/판매] 6월공상,"경기도 평택시 비전로64번길 25-5, 101호(비전동)",-,생활화학제품 및 살생물제의 안전관리에 관한 법률,한강유역환경청,2022-04-27,"제조금지, 판매금지, 회수명령",확인 미실시 및 표시사항 미표기,
플라워스틱(제라늄 꽃 향),방향제류,방향제,방향제,[제조/판매] 라온,"경기도 파주시 하우2길 46-9, 316-2(야당동)",-,생활화학제품 및 살생물제의 안전관리에 관한 법률,한강유역환경청,2022-04-28,"제조금지, 판매금지, 회수명령",확인 미실시 및 표시사항 미표기,
MS FREE NAIL GLUE,코팅/접착제류,접착제,접착제,[수입/판매] 다행의 살림(031-957-4505),경기도 파주시 산내로104번길 5-14 101호,-,생활화학제품 및 살생물제의 안전관리에 관한 법률,한강유역환경청,2022-04-28,"수입금지, 판매금지, 회수명령",확인 미실시 및 표시사항 미표기,
지케이(GK)-유분용해제,세제류,세정제품/제거제,제거제,[제조/판매] 지케이그린코리아㈜ (02-2060-2018),경기도 광명시 금오로707번길 43-4,대한민국,생활화학제품 및 살생물제의 안전관리에 관한 법률,한강유역환경청,2022-04-28,"제조금지, 판매금지, 회수명령",안전기준 부적합 함유기준(과산화수소) 초과,해당 신고번호(CB21-02-0349) 사용 제품 모두 판매금지 및 회수
EAU MOHELI,방향제류,방향제,방향제,[제조/판매] 센트올로지(0507-1326-9354,"서울 강남구 테헤란로4길6, 1045호",,생활화학제품 및 살생물제의 안전관리에 관한 법률,한강유역환경청,2022-04-28,"제조금지, 판매금지, 회수명령","안전기준 및 표시기준 미준수 (미확인,미표시)",
피오레 원터치글루 ,미용제품,미용 접착제,미용접착제,[제조/판매] 이루다코스메틱(02-3421-4764),"서울시 중랑구 봉화산로 39-1(중화동, 유정빌딩)",대한민국,생활화학제품 및 살생물제의 안전관리에 관한 법률,한강유역환경청,2022-04-28,"제조금지, 판매금지, 회수명령",안전기준 및 표시기준 미준수 제품 내 함유금지물질(메틸메타크릴레이트)검출,
딱이야!글루,미용제품,미용 접착제,미용접착제,[제조] 주식회사 혜승씨앤에프(02-373-1256),서울시 은평구 증산로13길 3-16 302 (혜승빌딩),대한민국,생활화학제품 및 살생물제의 안전관리에 관한 법률,한강유역환경청,2022-04-28,"제조금지, 판매금지, 회수명령",확인받은 내용과 다르게 제조 제품 내 함유금지물질(메틸메타크릴레이트) 검출 ,해당 신고번호(CB21-19-0075) 사용 제품 모두 판매금지 및 회수
루벤스 골드글루,미용제품,미용 접착제,미용접착제,[제조/판매] 주식회사 혜승씨앤에프(02-373-1256),서울시 은평구 증산로13길 3-16 302 (혜승빌딩),대한민국,생활화학제품 및 살생물제의 안전관리에 관한 법률,한강유역환경청,2022-04-28,"제조금지, 판매금지, 회수명령","안전기준 및 표시기준 미준수 (미확인,미표시)",
워머용 캔들(바이레도라튤립향),방향제류,방향제,방향제,[제조] 하얌(HAYAM)(061-920-6669),전라남도 여수시 소라면 덕양로 97-9 104동 101호,대한민국,생활화학제품 및 살생물제의 안전관리에 관한 법률,영산강유역환경청,2022-04-29,"제조금지, 판매금지, 회수명령",○ 안전기준 확인을 받지 않고 표시사항을 전체미표기한 제품 제조·판매,
200호,기타류,초,초,[판매] 주식회사 순광종합물류(061-763-7734),전라남도 광양시 광양읍 순광로 292-17 ,대한민국,생활화학제품 및 살생물제의 안전관리에 관한 법률,영산강유역환경청,2022-04-29,"판매금지, 회수명령","○ 안전기준적합확인을 받지 않고 표시사항을 미표기한 제품 판매○ 2022년 1월 12일 이전 제품에 한해 유통금지(제조자가 2022.1.13일 신고번호 발급)",
순간접착제 alaska 4001,코팅/접착제류,접착제,접착제,[판매] 주식회사 순광종합물류(061-763-7734),전라남도 광양시 광양읍 순광로 292-17 ,대한민국,생활화학제품 및 살생물제의 안전관리에 관한 법률,영산강유역환경청,2022-04-29,"판매금지, 회수명령","○ 표시기준 전체미표기 제품 판매○ 자가검사번호 및 신고번호가 표기된 제품은 유통가능",
오 해피데이 향기패치,방향제류,방향제,방향제(일반용-실내용 등),[판매] 주식회사 유니엔코리아(070-4647-0580),"서울특별시 송파구 송파대로 201, 제에이동 제지1층 /134호(문정동, 송파 테라타워2)",대한민국,생활화학제품 및 살생물제의 안전관리에 관한 법률,한강유역환경청,2022-04-12,"판매금지, 회수명령",안전·표시기준 위반한 제품의 판매,"안전기준 적합확인 신고(제CB21-12-1411호, ’21.5.30) 제품(일반용-실내용 등)은 본 처분에서 제외"
타이니탄(BTS 캐릭터) 에어패치,방향제류,방향제,방향제(마스크용-패치형),[판매] 주식회사 힐링네이처,서울 마포구 월드컵로165 풍전빌딩 3층,대한민국,생활화학제품 및 살생물제의 안전관리에 관한 법률,한강유역환경청,2022-04-18,"판매금지, 회수명령",안전기준 적합 확인(위해성평가) 미실시 및 표시사항 미표기,마스크용 패치는 위해성평가 대상임
V3 SPICATE 아로마 패치,방향제류,방향제,방향제(마스크용-패치형),[판매] 아이업,서울특별시 중구 서소문로9길 28(덕수궁롯데캐슬) 제1층 112호,대한민국,생활화학제품 및 살생물제의 안전관리에 관한 법률,한강유역환경청,2022-04-19,"판매금지, 회수명령",안전·표시기준 위반한 제품의 판매,마스크용 패치는 위해성평가 대상임
아로마에센셜오일(木),방향제류,방향제,방향제,[제조/판매] 루나스에코라이프(lunasecolife) (0507-1456-6717),서울특별시 마포구 서교동 잔다리로 102,대한민국,생활화학제품 및 살생물제의 안전관리에 관한 법률,한강유역환경청,2022-04-18,"제조금지, 판매금지, 회수명령",확인 미실시 및 표시사항 미표기,
실내용 디퓨저(라임 바질 앤 만다린),방향제류,방향제,방향제,[제조/판매] 더라임 코리아,경기도 의정부시 체육로298-21 2층,대한민국,생활화학제품 및 살생물제의 안전관리에 관한 법률,한강유역환경청,2022-04-18,"제조금지, 판매금지, 회수명령",확인 미실시 및 표시사항 미표기,
라라포푸리 디퓨저(로즈부케),방향제류,방향제,방향제,[제조/판매] 라라포푸리(0507-1460-0609),경기도 고양시 덕양구 동송로 23-28 301동 2204호,대한민국,생활화학제품 및 살생물제의 안전관리에 관한 법률,한강유역환경청,2022-04-20,"제조금지, 판매금지, 회수명령",확인 미실시 및 표시사항 미표기,
아크릴레이트 흑색,미용제품,미용 접착제,미용 접착제,[제조] 이쁘지나(031-875-6364),"경기도 의정부시 발곡로 6, 해송빌딩 5층",대한민국,생활화학제품 및 살생물제의 안전관리에 관한 법률,한강유역환경청,2022-04-19,"제조금지, 판매금지, 회수명령",확인 미실시 및 표시사항 미표기,
아이뷰 디(D)5,미용제품,미용 접착제,미용 접착제,[제조] ㈜디엠코스메틱(070-4282-1327),경기도 안산시 단원구 산단로 325 스마트스퀘어지식산업센터 F901,대한민국,생활화학제품 및 살생물제의 안전관리에 관한 법률,한강유역환경청,2022-04-21,"제조금지, 판매금지, 회수명령","확인 받은 내용과 다르게 제조[함유금지물질(메틸메타크릴레이트, 아크릴로니트릴) 검출, 함량제한물질(폼알데하이드) 기준 초과]",EB20-19-0068호 신고번호 사용 제품 모두 판매금지 및 회수
wheel paint(MC-003),염료/염색류,물체도색제,물체도색제,[판매] 폭탄베이프,서울특별시 강서구 까치산로27길 22 2층 201호,중국,생활화학제품 및 살생물제의 안전관리에 관한 법률,한강유역환경청,2022-04-21,"판매금지, 회수명령",확인 미실시 및 표시사항 미표기,
ms adhesive,코팅/접착제류,접착제,접착제,[판매] 플러스애드컴(070-8064-2520),서울특별시 강서구 공항대로46길 13-20 3층,-,생활화학제품 및 살생물제의 안전관리에 관한 법률,한강유역환경청,2022-04-22,"판매금지, 회수명령",확인 미실시 및 표시사항 미표기,
스피어스핑크샌드 19213,방향제류,방향제,방향제,[수입/판매] 주식회사 레판토," 서울시 송파구 백제고분로 67, 9층 903호(잠실동, 위너스오피스텔2)",미국,생활화학제품 및 살생물제의 안전관리에 관한 법률,한강유역환경청,2022-04-19,"수입금지, 판매금지, 회수명령",안전기준 위반 제품 수입 ※ 제품 내 함유금지물질(CMIT) 검출,해당 신고번호(GB21-12-1118) 사용 제품 모두 판매금지 및 회수
스피어스써니데이드림 19294,방향제류,방향제,방향제,[수입/판매] 주식회사 레판토,"서울시 송파구 백제고분로 67, 9층 903호(잠실동, 위너스오피스텔2)",미국,생활화학제품 및 살생물제의 안전관리에 관한 법률,한강유역환경청,2022-04-19,"수입금지, 판매금지, 회수명령",안전기준 위반 제품 수입 ※ 제품 내 함유금지물질(CMIT) 검출,해당 신고번호(EB21-12-1341) 사용 제품 모두 판매금지 및 회수
이와사키 규조토,기타류,"습기제거제, 탈취제",탈취제·살균제·습기제거제,[수입/판매] 주식회사 아이엘컴퍼니(070-4133-1982), 경기도 화성시 양감면 길목길 34,중국,생활화학제품 및 살생물제의 안전관리에 관한 법률,한강유역환경청,2022-04-20,"수입금지, 판매금지, 회수명령",안전·표시기준 위반 제품 수입·판매,-
물품소 소이캔들(일랑일랑향),기타류,초,초,[제조/판매] 물품소(0507-1400-6827),"서울특별시 광진구 동일로28길 62-3, 101호(화양동)",대한민국,생활화학제품 및 살생물제의 안전관리에 관한 법률,한강유역환경청,2022-04-22,"제조금지, 판매금지, 회수명령","신고 미실시, 표시사항 미표기 제품 제조, 판매",파생신고(CB21-26-1433호) 완료(2021.12.28.)한 제품(물품소 소이캔들(일랑일랑향))은 안전·표시기준 준수하여 유통 가능
보태니컬 디퓨저(비바라쥬시),방향제류,방향제,방향제,[제조/판매] 물품소(0507-1400-6827),"서울특별시 광진구 동일로28길 62-3, 101호(화양동)",대한민국,생활화학제품 및 살생물제의 안전관리에 관한 법률,한강유역환경청,2022-04-22,"제조금지, 판매금지, 회수명령",안전·표시기준 위반 제품 제조·판매,-
스노우볼 캔들(클린코튼향),기타류,초,초,[제조/판매] 물품소(0507-1400-6827),"서울특별시 광진구 동일로28길 62-3, 101호(화양동)",대한민국,생활화학제품 및 살생물제의 안전관리에 관한 법률,한강유역환경청,2022-04-22,"제조금지, 판매금지, 회수명령",안전·표시기준 위반 제품 제조·판매,-
IFLE-2 홈스위퍼 고급형 물청소포 3호,세제류,세정제품/제거제,세정제품-제거제,[수입] 주식회사 이플(02-2619-3255),경기도 시흥시 금오로477번길 56(과림동),중국,생활화학제품 및 살생물제의 안전관리에 관한 법률,한강유역환경청,2022-04-20,"수입금지, 판매금지, 회수명령",확인 미실시 및 표시사항 미표기,
플라워 디퓨저(인칸토참 향),방향제류,방향제,방향제,"[제조,판매] 미유(meyou)",(제조)경상남도 김해시 구지로180번길 25 청년몰 306호,대한민국,생활화학제품 및 살생물제의 안전관리에 관한 법률,낙동강유역환경청,2022-04-14,"제조금지, 판매금지, 회수명령",확인을 받지 아니한 제품 제조.판매,
쿼카 차량용 석고방향제(일랑일랑 향),방향제류,방향제,방향제,"[제조,판매] 미유(meyou)",(제조)경상남도 김해시 구지로180번길 25 청년몰 306호,대한민국,생활화학제품 및 살생물제의 안전관리에 관한 법률,낙동강유역환경청,2022-04-14,"제조금지, 판매금지, 회수명령",신고를 하지 않은 제품 제조.판매,
메리고라운드 캔들(인칸토 참 향),기타류,초,초,"[제조,판매] 미유(meyou)",(제조)경상남도 김해시 구지로180번길 25 청년몰 306호,대한민국,생활화학제품 및 살생물제의 안전관리에 관한 법률,낙동강유역환경청,2022-04-14,"제조금지 ,판매금지, 회수명령",신고를 하지 않은 제품 제조.판매,
메니아뜰리에 캔들(마크제이콥 스테이지 향),기타류,초,초,"[제조,판매] 메니아뜰리에","(제조)부산광역시 해운대구 해운대로 790, 1325호",대한민국,생활화학제품 및 살생물제의 안전관리에 관한 법률,낙동강유역환경청,2022-04-18,"제조금지, 판매금지, 회수명령",신고를 하지 않은 제품 제조.판매,
테디베어 차량용 방향제(다우니 프레쉬 향),방향제류,방향제,방향제,"[제조,판매] 센트로제",(제조)부산광역시 사상구 학감대로 109-43 (학장극동아파트) 102동 1803호,대한민국,생활화학제품 및 살생물제의 안전관리에 관한 법률,낙동강유역환경청,2022-04-18,"제조금지, 판매금지, 회수명령",신고를 하지 않은 제품 제조.판매,
아카현 디퓨저 (러쉬 향),방향제류,방향제,방향제,"[제조,판매] 제이티핸즈","(제조)부산광역시 강서구 신호산단5로 56-6, 1층(신호동)",대한민국,생활화학제품 및 살생물제의 안전관리에 관한 법률,낙동강유역환경청,2022-04-19,"제조금지, 판매금지, 회수명령",신고를 하지 않은 제품 제조.판매,
아카현 컨테이너 캔들/ 필라캔들 (릴리오브더밸리&아이비 향),기타류,초,초,"[제조,판매] 제이티핸즈","(제조)부산광역시 강서구 신호산단5로 56-6, 1층(신호동)",대한민국,생활화학제품 및 살생물제의 안전관리에 관한 법률,낙동강유역환경청,2022-04-19,"제조금지, 판매금지, 회수명령",신고를 하지 않은 제품 제조.판매,
솔방울 왁스타블렛(핑크샌드향),방향제류,방향제,방향제,"[제조,판매]캐롤샵",(제조)부산광역시 동구 영초길 165,대한민국,생활화학제품 및 살생물제의 안전관리에 관한 법률,낙동강유역환경청,2022-04-20,"제조금지, 판매금지, 회수명령",확인을 받지 아니한 제품 제조.판매,
소이캔들 만들기 세트 220ml 1+1(목련향),기타류,초,초,[제조/판매] 인더센트,"(제조/판매)대구광역시 북구 관음중앙로21길 7, 2층 203호",대한민국,생활화학제품 및 살생물제의 안전관리에 관한 법률,대구지방환경청,2022-04-20,"제조금지, 판매금지, 회수명령","안전기준적합확인 미실시, 표시기준 위반",
향초만들기(레몬라벤더),기타류,초,초,[제조/판매] 인더센트,"(제조/판매)대구광역시 북구 관음중앙로21길 7, 2층 203호",대한민국,생활화학제품 및 살생물제의 안전관리에 관한 법률,대구지방환경청,2022-04-20,"제조금지, 판매금지, 회수명령","안전기준적합확인 미실시, 표시기준 위반",
intenze(medium brown),미용제품,문신용 염료,문신용염료,[수입/판매] 미용닷컴(1670-3569),"경기도 의정부시 추동로 15, 101(신곡동, 대명프라자지하)",미국,생활화학제품 및 살생물제의 안전관리에 관한 법률,한강유역환경청,2022-04-11,"수입금지, 판매금지, 회수명령","안전기준 및 표시기준 미준수(미확인,미표시)",
intenze(rose pink),미용제품,문신용 염료,문신용염료,[수입/판매] 미용닷컴(1670-3569),"경기도 의정부시 추동로 15, 101(신곡동, 대명프라자지하)",미국,생활화학제품 및 살생물제의 안전관리에 관한 법률,한강유역환경청,2022-04-11,"수입금지, 판매금지, 회수명령","안전기준 및 표시기준 미준수(미확인,미표시)",
